file_no,process_name,pid,tid
0,Socket Thread,17289,17300
0,/usr/bin/firefox,17289,17289
0,/usr/bin/firefox,17289,17295
0,/opt/firefox31/plugin-container,17333,17333
0,/opt/firefox31/plugin-container,17333,17335
0,/usr/bin/dbus-launch,17336,17336
0,sh,17338,17338
0,/bin/ps,17339,17339
0,/bin/grep,17340,17340
0,/opt/firefox31/plugin-container,17346,17346
0,/opt/firefox31/plugin-container,17346,17347
1,/usr/bin/firefox,17369,17369
1,dconf worker,17369,17372
1,/usr/bin/dbus-launch,17373,17373
1,/usr/bin/firefox,17371,17371
1,/usr/bin/firefox,17369,17384
1,/usr/bin/firefox,17369,17388
1,/usr/bin/dbus-launch,17409,17409
1,/usr/bin/firefox,17369,17380
1,/usr/bin/firefox,17369,17379
1,/opt/firefox31/plugin-container,17419,17419
1,/opt/firefox31/plugin-container,17419,17421
1,/usr/bin/dbus-launch,17422,17422
1,sh,17424,17424
1,/bin/ps,17425,17425
1,/bin/grep,17426,17426
1,/opt/firefox31/plugin-container,17432,17432
1,/opt/firefox31/plugin-container,17432,17434
2,/usr/bin/firefox,17456,17456
2,dconf worker,17456,17459
2,/usr/bin/dbus-launch,17460,17460
2,/usr/bin/firefox,17458,17458
2,/usr/bin/firefox,17456,17471
2,/usr/bin/firefox,17456,17475
2,/usr/bin/dbus-launch,17498,17498
2,/usr/bin/firefox,17456,17467
2,/usr/bin/firefox,17456,17466
2,/opt/firefox31/plugin-container,17507,17507
2,/opt/firefox31/plugin-container,17507,17509
2,/usr/bin/dbus-launch,17510,17510
2,sh,17512,17512
2,/bin/ps,17513,17513
2,/bin/grep,17514,17514
2,/opt/firefox31/plugin-container,17520,17520
2,/opt/firefox31/plugin-container,17520,17521
3,/usr/bin/firefox,17544,17544
3,dconf worker,17544,17547
3,/usr/bin/dbus-launch,17548,17548
3,/usr/bin/firefox,17546,17546
3,/usr/bin/firefox,17544,17559
3,/usr/bin/firefox,17544,17563
3,/usr/bin/dbus-launch,17588,17588
3,/usr/bin/firefox,17544,17555
3,/usr/bin/firefox,17544,17554
3,/opt/firefox31/plugin-container,17598,17598
3,/opt/firefox31/plugin-container,17598,17600
3,/usr/bin/dbus-launch,17601,17601
3,sh,17603,17603
3,/bin/ps,17604,17604
3,/bin/grep,17605,17605
3,/opt/firefox31/plugin-container,17611,17611
3,/opt/firefox31/plugin-container,17611,17612
4,/usr/bin/firefox,17634,17634
4,dconf worker,17634,17637
4,/usr/bin/dbus-launch,17638,17638
4,/usr/bin/firefox,17636,17636
4,/usr/bin/firefox,17634,17649
4,/usr/bin/firefox,17634,17653
4,/usr/bin/dbus-launch,17673,17673
4,/usr/bin/firefox,17634,17645
4,/usr/bin/firefox,17634,17644
4,/opt/firefox31/plugin-container,17682,17682
4,/opt/firefox31/plugin-container,17682,17684
4,/usr/bin/dbus-launch,17685,17685
4,sh,17687,17687
4,/bin/ps,17688,17688
4,/bin/grep,17689,17689
4,/opt/firefox31/plugin-container,17695,17695
4,/opt/firefox31/plugin-container,17695,17696
5,/usr/bin/firefox,17719,17719
5,dconf worker,17719,17722
5,/usr/bin/dbus-launch,17723,17723
5,/usr/bin/firefox,17721,17721
5,/usr/bin/firefox,17719,17734
5,/usr/bin/firefox,17719,17738
5,/usr/bin/dbus-launch,17762,17762
5,/usr/bin/firefox,17719,17730
5,/usr/bin/firefox,17719,17729
5,/opt/firefox31/plugin-container,17771,17771
5,/opt/firefox31/plugin-container,17771,17773
5,/usr/bin/dbus-launch,17774,17774
5,sh,17776,17776
5,/bin/ps,17777,17777
5,/bin/grep,17778,17778
5,/opt/firefox31/plugin-container,17784,17784
5,/opt/firefox31/plugin-container,17784,17785
6,/usr/bin/firefox,17807,17807
6,dconf worker,17807,17810
6,/usr/bin/dbus-launch,17811,17811
6,/usr/bin/firefox,17809,17809
6,/usr/bin/firefox,17807,17822
6,/usr/bin/firefox,17807,17827
6,/usr/bin/dbus-launch,17849,17849
6,/usr/bin/firefox,17807,17818
6,/usr/bin/firefox,17807,17817
6,/opt/firefox31/plugin-container,17858,17858
6,/opt/firefox31/plugin-container,17858,17860
6,/usr/bin/dbus-launch,17861,17861
6,sh,17863,17863
6,/bin/ps,17864,17864
6,/bin/grep,17865,17865
6,/opt/firefox31/plugin-container,17871,17871
6,/opt/firefox31/plugin-container,17871,17872
7,/usr/bin/firefox,17894,17894
7,dconf worker,17894,17897
7,/usr/bin/dbus-launch,17898,17898
7,/usr/bin/firefox,17896,17896
7,/usr/bin/firefox,17894,17909
7,/usr/bin/firefox,17894,17913
7,/usr/bin/dbus-launch,17938,17938
7,/usr/bin/firefox,17894,17901
7,/usr/bin/firefox,17894,17900
7,/opt/firefox31/plugin-container,17947,17947
7,/opt/firefox31/plugin-container,17947,17949
7,/usr/bin/dbus-launch,17950,17950
7,sh,17952,17952
7,/bin/ps,17953,17953
7,/bin/grep,17954,17954
7,/opt/firefox31/plugin-container,17960,17960
7,/opt/firefox31/plugin-container,17960,17961
8,/usr/bin/firefox,17984,17984
8,dconf worker,17984,17987
8,/usr/bin/dbus-launch,17988,17988
8,/usr/bin/firefox,17986,17986
8,/usr/bin/firefox,17984,17999
8,/usr/bin/firefox,17984,18003
8,/usr/bin/dbus-launch,18029,18029
8,/usr/bin/firefox,17984,17995
8,/usr/bin/firefox,17984,17994
8,/opt/firefox31/plugin-container,18038,18038
8,/opt/firefox31/plugin-container,18038,18040
8,/usr/bin/dbus-launch,18041,18041
8,sh,18043,18043
8,/bin/ps,18044,18044
8,/bin/grep,18045,18045
8,/opt/firefox31/plugin-container,18051,18051
8,/opt/firefox31/plugin-container,18051,18052
9,/usr/bin/firefox,18074,18074
9,dconf worker,18074,18077
9,/usr/bin/dbus-launch,18078,18078
9,/usr/bin/firefox,18076,18076
9,/usr/bin/firefox,18074,18089
9,/usr/bin/firefox,18074,18093
9,/usr/bin/dbus-launch,18111,18111
9,/usr/bin/firefox,18074,18085
9,/usr/bin/firefox,18074,18084
9,/opt/firefox31/plugin-container,18120,18120
9,/opt/firefox31/plugin-container,18120,18122
9,/usr/bin/dbus-launch,18123,18123
9,sh,18125,18125
9,/bin/ps,18126,18126
9,/bin/grep,18127,18127
9,/opt/firefox31/plugin-container,18134,18134
9,/opt/firefox31/plugin-container,18134,18135
10,/usr/bin/firefox,18157,18157
10,dconf worker,18157,18160
10,/usr/bin/dbus-launch,18161,18161
10,/usr/bin/firefox,18159,18159
10,/usr/bin/firefox,18157,18172
10,/usr/bin/firefox,18157,18176
10,/usr/bin/dbus-launch,18199,18199
10,/usr/bin/firefox,18157,18168
10,/usr/bin/firefox,18157,18167
10,/opt/firefox31/plugin-container,18208,18208
10,/opt/firefox31/plugin-container,18208,18210
10,/usr/bin/dbus-launch,18211,18211
10,sh,18213,18213
10,/bin/ps,18214,18214
10,/bin/grep,18215,18215
10,/opt/firefox31/plugin-container,18221,18221
10,/opt/firefox31/plugin-container,18221,18222
11,/usr/bin/firefox,18245,18245
